dataset,event_id,rms_min,rms_max,lat_min,lat_max,lon_min,lon_max,depth_min_km,depth_max_km,boundary_methods,dh25_methods,rms_range_s,depth_range_km,horizontal_range_km,within_1m,within_100m
stratified32,SGC2020agjggo,0.3505985797375928,0.3505992224422876,7.35102784181525,7.351197828592558,-73.31630649672773,-73.31619232784838,131.84390561130527,131.906839456315,0,0,6.427046947976578e-07,0.06293384500972365,0.022742119339626225,False,True
stratified32,SGC2020dtzpwj,0.3888482350579667,0.388848235057973,7.293812417381502,7.293812440967959,-73.49052144219908,-73.4905214308442,129.67000000000002,129.67000000000002,4,0,6.328271240363392e-15,0.0,2.9099896347585116e-06,True,True
stratified32,SGC2020gerodj,0.3130796538078619,0.3130796538078679,6.625497760146127,6.625497773281824,-73.4222363450457,-73.42223633703223,141.67000000000002,141.67000000000002,4,0,5.995204332975845e-15,0.0,1.7094364456437826e-06,True,True
stratified32,SGC2022kyajix,0.1085373231578518,0.1085373231578592,7.067516587073125,7.067516591687233,-74.27593046981822,-74.2759304575894,47.83071889365464,47.83071984415032,0,0,7.396860901565105e-15,9.504956821615451e-07,1.4455024602069587e-06,True,True
stratified32,SGC2022lnpqkc,0.2240499528206966,0.2240499528207053,7.442783783443327,7.44278379908156,-73.77403684582144,-73.77403684017533,91.42166309597134,91.4216655463077,0,4,8.715250743307479e-15,2.4503363533767697e-06,1.8492510516751778e-06,True,True
stratified32,SGC2022luluqb,0.1645223217476426,0.1645223217476509,7.165761764507905,7.165761767918185,-73.84616651735486,-73.84616651597558,25.60756723707871,25.60757069010476,0,0,8.298917109073045e-15,3.4530260499820997e-06,4.0907882189817237e-07,True,True
stratified32,SGC2022mdzfra,0.8327595100207954,0.8327595278159398,7.509522350842913,7.509522447363349,-73.88749699961124,-73.88749698498286,91.21096706675206,91.2109747412458,0,0,1.779514435806817e-08,7.674493744502797e-06,1.0865542452635358e-05,True,True
stratified32,SGC2022metnph,0.1951092907819257,0.1951092907819331,7.143123001963215,7.143123007420945,-74.10582952794701,-74.1058295273818,65.717720303799,65.71772282435417,0,0,7.382983113757291e-15,2.520555170804073e-06,6.107556907780373e-07,True,True
stratified32,SGC2022ofpwob,0.1468228678066489,0.1468228678066555,6.434223138422984,6.4342231478761525,-73.64086603511365,-73.64086602682936,124.17191756808862,124.17192163804896,0,0,6.5780714209040525e-15,4.069960340302714e-06,1.3947135840402988e-06,True,True
stratified32,SGC2022omvgfe,0.0865259820236608,0.0865259820236673,6.709622929676397,6.709622938886931,-74.13651405342615,-74.13651404965553,77.86952950073487,77.86953123478725,0,0,6.50868248186498e-15,1.734052375468309e-06,1.106726747322062e-06,True,True
stratified32,SGC2022oormtr,0.4212483360962178,0.4212483360962189,7.128443929596513,7.128443937514192,-74.26489018917326,-74.26489018446482,48.14,48.14,4,0,1.1102230246251565e-15,0.0,1.0234769695139692e-06,True,True
stratified32,SGC2022pdaiuz,1.1869470218787934,1.1869470880817456,6.729683707577842,6.729683728744478,-73.47267988492145,-73.47267986369977,75.52000000000001,75.52000000000001,4,0,6.620295223136452e-08,0.0,3.3241601739770285e-06,True,True
stratified32,SGC2022razkne,0.1508443688032285,0.1508443688032364,7.228263646793556,7.228263651834692,-73.46638212923285,-73.46638212630336,116.26391844921528,116.26392414607685,0,0,7.91033905045424e-15,5.696861563819766e-06,6.478359811977417e-07,True,True
stratified32,SGC2023tnjthq,0.2387747171925542,0.238783693638469,6.818305152562326,6.820424833657521,-73.16500728740313,-73.1632340739636,169.53,169.53,4,0,8.976445914798958e-06,0.0,0.3066989132988595,False,False
stratified32,SGC2024bkjqkz,0.3377427921254607,0.3377427921254656,6.83124187709353,6.831241904471597,-73.13156147418604,-73.13156146478376,170.91,170.91,4,0,4.884981308350689e-15,0.0,3.2199173703271622e-06,True,True
stratified32,SGC2024clkrqm,0.1022307881983649,0.1022307881983702,6.799476176972463,6.799476181244505,-73.18003101986878,-73.18003101033683,170.3,170.3,4,0,5.3013149425851225e-15,0.0,1.1555792736955471e-06,True,True
stratified32,SGC2026alqild,0.2514884359704613,0.2514884359726962,7.3035645068525215,7.303564506856999,-73.26247533344579,-73.26247519652398,122.31653079990032,122.31653314742992,0,0,2.2349344597216714e-12,2.347529601820497e-06,1.5128523610093263e-05,True,True
stratified32,SGC2026cjxroc,0.1605336347443731,0.1605336356233951,6.837716838362211,6.837717419888258,-73.18382136649464,-73.18381895628566,161.13281245043456,161.1328125,4,0,8.790219940824073e-10,4.956544330525503e-08,0.0002740598518713742,True,True
