dataset,event_id,method,huber_delta_s,objective_s,relocated_rms_s,origin_shift_s,relocated_depth_km,delta_horizontal_km,delta_depth_km,depth_boundary
stratified32,SGC2018uupq,HSSO-E,1.5,0.2948349737694858,0.2948349737694858,-1.6229620270501863,67.76304540904725,9.621404239883292,17.923045409047248,False
stratified32,SGC2019uqtpny,HSSO-E,1.5,0.4873800061985404,0.4873800061985404,-0.942884460172861,57.35036934467005,3.575693798674611,10.580369344670046,False
stratified32,SGC2022pdaiuz,HSSO-E,1.5,1.0321847816524354,1.0322494618958213,-1.5095478101488062,75.52000000000001,19.14470189301372,20.000000000000007,True
stratified32,SGC2022kyajix,HSSO-E,1.5,0.10853732315785758,0.10853732315785758,1.2232413369965638,47.83071893540342,16.285004235149618,-7.35928106459658,False
stratified32,SGC2022oormtr,HSSO-E,1.5,0.42124833609621853,0.42124833609621853,1.1830514049873653,48.14,14.148184903626879,-20.0,True
stratified32,SGC2022metnph,HSSO-E,1.5,0.19510929078192588,0.19510929078192588,-0.4508257500321289,65.7177217624899,14.93804638629697,-0.0022782375100973695,False
stratified32,SGC2022omvgfe,HSSO-E,1.5,0.08652598202366493,0.08652598202366493,-0.17065058063455396,77.86953054686731,7.139777571349132,-0.2904694531326868,False
stratified32,SGC2022mdzfra,HSSO-E,1.5,0.8245216345334637,0.8251337725198328,-0.2928440540470838,87.62785439432066,18.125446554812477,9.677854394320661,False
stratified32,SGC2019pdbii,HSSO-E,1.5,0.48235021003294526,0.48235021003294526,-2.204009529600487,107.38,10.395097746738365,20.0,True
stratified32,SGC2022lnpqkc,HSSO-E,1.5,0.22404995282069703,0.22404995282069703,0.3542310527372621,91.42166393757695,31.71248578517854,8.951663937576953,False
