dataset,event_id,method,seed,evaluations,optimizer_elapsed_s,n_stations,sgc_lat,sgc_lon,sgc_depth_km,relocated_lat,relocated_lon,relocated_depth_km,origin_shift_s,sgc_model_rms_s,relocated_rms_s,huber_objective_s,rms_reduction_s,delta_horizontal_km,delta_depth_km,depth_lower_km,depth_upper_km,depth_boundary,large_horizontal_shift,large_vertical_shift
new30,SGC2026baehdu,HSSO-E,1977242476,9030,1.3732459000311792,8,7.7865,-74.16983333,64.85,7.517050965923601,-74.04952392088698,73.24537439456742,1.7562303918499005,0.767246306041844,0.5014776582836541,0.49995855143579093,0.26576864775818987,32.80866144496422,8.395374394567426,44.849999999999994,84.85,False,True,False
new30,SGC2025wvcvfj,PSO,1236301910,9030,0.4533294001594186,7,7.628833333,-74.03433333,67.64,7.35865872847028,-73.96629655581641,75.3925148708758,0.6105266494810344,0.698787832940567,0.1395212234155748,0.1395212234155748,0.5592666095249922,31.001084863856658,7.7525148708758,47.64,87.64,False,True,False
new30,SGC2025wvcvfj,LPSO,1236301910,9030,0.6569292000494897,7,7.628833333,-74.03433333,67.64,7.35865872241752,-73.96629655357009,75.3925116664735,0.6105268265845538,0.698787832940567,0.13952122341557524,0.13952122341557524,0.5592666095249917,31.00108557772492,7.752511666473495,47.64,87.64,False,True,False
new30,SGC2025wvcvfj,HSSO-no-helix,1236301910,9030,1.1284623998217285,7,7.628833333,-74.03433333,67.64,7.3586587108608015,-73.96629654529936,75.39251616247162,0.6105266977661366,0.698787832940567,0.13952122341557463,0.13952122341557463,0.5592666095249924,31.001087047416657,7.752516162471622,47.64,87.64,False,True,False
new30,SGC2025wvcvfj,HSSO-E,1236301910,9030,1.6372457002289593,7,7.628833333,-74.03433333,67.64,7.358658716416337,-73.96629654787228,75.39251675739114,0.6105266358379815,0.698787832940567,0.13952122341557288,0.13952122341557288,0.5592666095249941,31.001086378497146,7.752516757391135,47.64,87.64,False,True,False
new30,SGC2026afswai,PSO,1285877282,9030,0.5192388999275863,7,6.474166667,-74.1985,71.49,6.495084449365024,-74.10596924280223,73.53021062671124,-0.1368460349102456,0.6451933680192766,0.2050265257680193,0.2050265257680193,0.44016684225125735,10.485570833248683,2.040210626711243,51.489999999999995,91.49,False,False,False
new30,SGC2026afswai,LPSO,1285877282,9030,0.6672614999115467,7,6.474166667,-74.1985,71.49,6.495084449365053,-74.10596924543952,73.53020968299916,-0.13684598887655142,0.6451933680192766,0.2050265257680135,0.2050265257680135,0.4401668422512631,10.485570549130285,2.040209682999162,51.489999999999995,91.49,False,False,False
new30,SGC2026afswai,HSSO-no-helix,1285877282,9030,1.1700623002834618,7,6.474166667,-74.1985,71.49,6.49508444936507,-74.1059692425534,73.53020884069296,-0.13684593737336215,0.6451933680192766,0.20502652576801272,0.20502652576801272,0.4401668422512639,10.485570860056237,2.0402088406929693,51.489999999999995,91.49,False,False,False
new30,SGC2026afswai,HSSO-E,1285877282,9030,1.7688913000747561,7,6.474166667,-74.1985,71.49,6.495084449352861,-74.10596925689977,73.53018648471455,-0.13684475134348162,0.6451933680192766,0.20502652577008276,0.20502652577008276,0.4401668422491939,10.4855693142025,2.040186484714553,51.489999999999995,91.49,False,False,False
new30,SGC2025yymqxd,PSO,662568101,9030,0.6627301997505128,7,7.077666667,-74.04,78.19,7.024631928793001,-74.0389893948965,72.57723644777623,0.026311138500197728,0.48820692838909135,0.36044349769211786,0.36044349769211786,0.1277634306969735,5.90488292205378,-5.612763552223768,58.19,98.19,False,False,False
